Mls.MLS Freq	Mls.Ch.1 Ampl 	Mls.Ch.1 Phase
Source 1	Data 1	Data 2
Hz	dBV	deg
20	-55.95692272	-1.538085938
20.2721979	-55.95692272	-1.538085938
20.54810038	-55.95692272	-1.538085938
20.82775787	-55.95692272	-1.538085938
21.11122146	-55.95692272	-1.538085938
21.39854297	-55.68331205	-1.142578125
21.68977489	-55.68331205	-1.142578125
21.98497044	-55.68331205	-1.142578125
22.28418358	-55.68331205	-1.142578125
22.58746898	-55.68331205	-1.142578125
22.89488205	-55.39029778	-0.791015625
23.20647899	-55.39029778	-0.791015625
23.52231673	-55.39029778	-0.791015625
23.84245299	-55.39029778	-0.791015625
24.16694627	-55.39029778	-0.791015625
24.49585587	-55.07449235	-0.3515625
24.82924189	-55.07449235	-0.3515625
25.16716526	-55.07449235	-0.3515625
25.50968773	-55.07449235	-0.3515625
25.8568719	-54.74614529	0.043945313
26.20878121	-54.74614529	0.043945313
26.56547997	-54.74614529	0.043945313
26.92703336	-54.74614529	0.043945313
27.29350745	-54.39525668	0.52734375
27.66496922	-54.39525668	0.52734375
28.04148654	-54.39525668	0.52734375
28.42312823	-54.39525668	0.52734375
28.80996401	-54.02629123	0.966796875
29.2020646	-54.02629123	0.966796875
29.59950163	-54.02629123	0.966796875
30.00234773	-54.02629123	0.966796875
30.41067653	-53.64162045	1.40625
30.82456264	-53.64162045	1.40625
31.2440817	-53.64162045	1.40625
31.66931037	-53.24525487	1.801757813
32.10032635	-53.24525487	1.801757813
32.53720842	-53.24525487	1.801757813
32.9800364	-52.83429589	2.197265625
33.42889123	-52.83429589	2.197265625
33.88385493	-52.83429589	2.197265625
34.34501063	-52.83429589	2.197265625
34.81244262	-52.41070965	2.504882813
35.2862363	-52.41070965	2.504882813
35.76647827	-52.41070965	2.504882813
36.25325628	-51.97987809	2.768554688
36.74665928	-51.97987809	2.768554688
37.24677745	-51.97987809	2.768554688
37.75370218	-51.53859636	3.032226563
38.2675261	-51.53859636	3.032226563
38.78834311	-51.53859636	3.032226563
39.31624838	-51.09361975	3.208007813
39.85133838	-51.09361975	3.208007813
40.39371091	-50.63987012	3.33984375
40.94346507	-50.63987012	3.33984375
41.50070133	-50.63987012	3.33984375
42.06552151	-50.18261674	3.427734375
42.63802883	-50.18261674	3.427734375
43.21832792	-49.72624925	3.427734375
43.80652482	-49.72624925	3.427734375
44.40272702	-49.72624925	3.427734375
45.00704347	-49.26438437	3.383789063
45.6195846	-49.26438437	3.383789063
46.24046235	-48.80742291	3.295898438
46.86979018	-48.80742291	3.295898438
47.5076831	-48.80742291	3.295898438
48.15425767	-48.34869265	3.120117188
48.80963206	-48.34869265	3.120117188
49.47392602	-47.89292258	2.900390625
50.14726095	-47.89292258	2.900390625
50.8297599	-47.44066881	2.63671875
51.52154759	-47.44066881	2.63671875
52.22275044	-46.99167928	2.28515625
52.93349658	-46.99167928	2.28515625
53.65391591	-46.54576167	1.93359375
54.38414006	-46.54576167	1.93359375
55.12430249	-46.10654016	1.494140625
