//single phase coef Number:=24,    upsample factor:=160,     downsample factor:=147
     1, -236,  106, -121,  126, -124,  115,  -99,   77,  -48,  -12,32290,  186, -141,  134, -136,  139, -141,  137, -128,  111, -238,    1,    9,
    2, -235,  102, -114,  115, -107,   90,  -61,   20,   46, -208,32286,  387, -236,  191, -173,  165, -157,  148, -135,  115, -239,    0,    1,
    2, -233,   97, -107,  104,  -91,   65,  -25,  -36,  138, -402,32278,  591, -331,  248, -211,  190, -174,  159, -141,  119, -240,    0,    1,
    2, -232,   93, -100,   93,  -74,   40,   12,  -92,  230, -593,32265,  797, -427,  306, -248,  215, -191,  170, -148,  124, -242,   -1,    1,
    3, -230,   88,  -93,   83,  -58,   16,   49, -147,  321, -781,32249, 1006, -523,  364, -286,  240, -208,  180, -155,  128, -243,   -1,    1,
    3, -229,   84,  -86,   72,  -42,   -9,   85, -203,  411, -966,32228, 1216, -619,  422, -324,  265, -224,  191, -162,  132, -244,   -2,    1,
    4, -227,   79,  -79,   61,  -25,  -33,  121, -257,  501,-1149,32203, 1430, -716,  480, -362,  290, -241,  202, -169,  137, -245,   -2,    1,
    4, -226,   74,  -72,   50,   -9,  -57,  157, -312,  589,-1329,32174, 1645, -814,  538, -400,  316, -258,  213, -175,  141, -246,   -3,    1,
    4, -224,   70,  -66,   40,    7,  -82,  193, -366,  677,-1507,32140, 1863, -912,  597, -438,  341, -275,  224, -182,  145, -248,   -3,    1,
    5, -222,   65,  -59,   29,   23, -105,  228, -420,  764,-1681,32103, 2083,-1010,  655, -476,  366, -291,  235, -189,  149, -249,   -4,    1,
    5, -221,   61,  -52,   19,   39, -129,  264, -473,  850,-1853,32061, 2306,-1109,  714, -514,  392, -308,  245, -196,  153, -250,   -5,    1,
    5, -219,   56,  -45,    8,   55, -153,  298, -525,  935,-2022,32015, 2530,-1208,  773, -552,  417, -325,  256, -202,  158, -251,   -5,    1,
    6, -217,   51,  -38,   -2,   71, -176,  333, -577, 1019,-2188,31966, 2757,-1307,  831, -590,  442, -341,  267, -209,  162, -252,   -6,    1,
    6, -216,   47,  -32,  -13,   87, -199,  367, -629, 1102,-2352,31912, 2986,-1406,  890, -628,  467, -358,  277, -215,  166, -253,   -7,    2,
    6, -214,   42,  -25,  -23,  102, -223,  401, -680, 1184,-2512,31854, 3217,-1506,  949, -666,  492, -374,  288, -222,  170, -254,   -7,    2,
    6, -212,   38,  -18,  -34,  118, -245,  435, -731, 1265,-2670,31792, 3450,-1606, 1007, -703,  517, -391,  299, -228,  173, -255,   -8,    2,
    7, -210,   33,  -11,  -44,  133, -268,  468, -781, 1346,-2824,31726, 3685,-1706, 1066, -741,  542, -407,  309, -235,  177, -255,   -9,    2,
    7, -209,   28,   -5,  -54,  148, -290,  501, -830, 1425,-2976,31655, 3922,-1806, 1125, -779,  567, -424,  319, -241,  181, -256,   -9,    2,
    7, -207,   24,    2,  -64,  163, -313,  534, -879, 1502,-3125,31581, 4161,-1906, 1183, -816,  592, -440,  330, -248,  185, -257,  -10,    2,
    7, -205,   19,    8,  -74,  178, -335,  566, -927, 1579,-3271,31503, 4402,-2006, 1241, -854,  617, -456,  340, -254,  189, -258,  -11,    2,
    8, -203,   15,   15,  -84,  193, -356,  598, -975, 1655,-3414,31421, 4644,-2106, 1299, -891,  641, -472,  350, -260,  192, -259,  -12,    2,
    8, -201,   10,   22,  -94,  208, -378,  630,-1022, 1729,-3554,31335, 4889,-2206, 1357, -928,  666, -488,  361, -266,  196, -259,  -12,    2,
    8, -199,    5,   28, -104,  222, -399,  661,-1068, 1803,-3691,31244, 5135,-2306, 1415, -965,  690, -504,  371, -272,  200, -260,  -13,    2,
    8, -198,    1,   34, -113,  237, -420,  691,-1114, 1875,-3825,31150, 5383,-2405, 1473,-1002,  714, -520,  381, -278,  203, -260,  -14,    2,
    8, -196,   -4,   41, -123,  251, -441,  722,-1159, 1946,-3956,31052, 5632,-2505, 1530,-1039,  738, -535,  391, -284,  207, -261,  -15,    2,
    8, -194,   -8,   47, -132,  265, -461,  751,-1203, 2015,-4084,30951, 5883,-2604, 1587,-1075,  762, -551,  400, -290,  210, -261,  -16,    2,
    9, -192,  -13,   53, -142,  279, -481,  781,-1247, 2084,-4209,30845, 6136,-2703, 1644,-1111,  786, -566,  410, -296,  213, -262,  -16,    2,
    9, -190,  -18,   60, -151,  292, -501,  810,-1290, 2151,-4332,30735, 6390,-2802, 1701,-1147,  809, -582,  420, -302,  217, -262,  -17,    3,
    9, -188,  -22,   66, -160,  306, -521,  838,-1332, 2217,-4450,30622, 6646,-2901, 1757,-1183,  833, -597,  429, -308,  220, -263,  -18,    3,
    9, -186,  -27,   72, -169,  319, -540,  866,-1373, 2281,-4566,30505, 6903,-2999, 1813,-1218,  856, -612,  439, -313,  223, -263,  -19,    3,
    9, -184,  -31,   78, -178,  332, -559,  894,-1414, 2345,-4679,30384, 7161,-3097, 1868,-1253,  879, -627,  448, -319,  226, -263,  -20,    3,
    9, -182,  -35,   84, -187,  345, -578,  921,-1454, 2406,-4789,30259, 7421,-3194, 1923,-1288,  901, -641,  457, -324,  229, -263,  -21,    3,
    9, -180,  -40,   90, -196,  358, -596,  948,-1493, 2467,-4896,30131, 7682,-3291, 1978,-1323,  924, -656,  466, -329,  232, -263,  -22,    3,
    9, -178,  -44,   96, -204,  370, -614,  974,-1531, 2526,-5000,29999, 7944,-3387, 2032,-1357,  946, -670,  475, -335,  235, -264,  -23,    3,
   10, -176,  -49,  101, -213,  383, -632,  999,-1569, 2584,-5101,29864, 8208,-3483, 2086,-1391,  968, -684,  484, -340,  238, -264,  -24,    3,
