//single phase coef Number:=28,    upsample factor:=160,     downsample factor:=147
   -34, -220,  134, -144,  166, -188,  207, -222,  232, -238,  236, -224,  175,32098,  375, -320,  296, -278,  261, -242,  221, -198,  173, -149,  136, -220,  -35,    8,
  -33, -220,  131, -140,  160, -178,  193, -202,  204, -197,  177, -129,  -22,32094,  577, -416,  356, -319,  289, -262,  235, -208,  180, -153,  139, -220,  -36,    1,
  -32, -219,  128, -136,  153, -169,  179, -182,  176, -157,  118,  -34, -216,32086,  781, -513,  416, -359,  318, -283,  250, -218,  186, -157,  142, -220,  -36,    1,
  -32, -219,  125, -131,  147, -159,  165, -162,  147, -117,   59,   60, -409,32074,  988, -610,  476, -400,  346, -303,  264, -227,  192, -161,  144, -221,  -37,    1,
  -31, -219,  123, -127,  140, -149,  150, -141,  119,  -77,    1,  153, -598,32058, 1197, -708,  536, -441,  375, -323,  278, -237,  199, -165,  147, -221,  -38,    1,
  -30, -218,  120, -123,  133, -139,  136, -121,   91,  -37,  -58,  246, -785,32037, 1409, -806,  596, -482,  403, -343,  292, -246,  205, -169,  149, -221,  -39,    1,
  -29, -218,  117, -118,  127, -129,  122, -101,   63,    3, -116,  338, -969,32013, 1623, -905,  657, -522,  432, -363,  306, -256,  212, -173,  152, -221,  -40,    1,
  -29, -217,  114, -114,  120, -119,  108,  -81,   35,   42, -173,  429,-1151,31984, 1839,-1003,  717, -563,  460, -383,  320, -265,  218, -177,  154, -221,  -41,    1,
  -28, -217,  111, -109,  113, -109,   94,  -61,    7,   82, -231,  519,-1330,31951, 2057,-1103,  778, -604,  489, -403,  334, -275,  224, -181,  156, -221,  -42,    1,
  -27, -216,  108, -105,  107, -100,   79,  -41,  -21,  121, -287,  609,-1506,31915, 2277,-1202,  838, -644,  517, -423,  347, -284,  230, -185,  159, -221,  -43,    1,
  -26, -216,  105, -100,  100,  -90,   65,  -22,  -49,  160, -344,  697,-1680,31874, 2500,-1302,  899, -685,  545, -442,  361, -294,  236, -189,  161, -220,  -44,    1,
  -26, -215,  102,  -96,   93,  -80,   51,   -2,  -76,  198, -400,  785,-1851,31829, 2725,-1402,  959, -725,  573, -462,  375, -303,  242, -193,  163, -220,  -44,    1,
  -25, -215,   99,  -91,   86,  -70,   37,   18, -104,  237, -456,  872,-2019,31780, 2951,-1502, 1020, -766,  601, -482,  388, -312,  248, -197,  165, -220,  -45,    1,
  -24, -214,   96,  -87,   80,  -60,   23,   37, -131,  275, -511,  958,-2185,31728, 3180,-1602, 1080, -806,  629, -501,  402, -321,  254, -200,  167, -220,  -46,    1,
  -24, -213,   93,  -82,   73,  -50,    9,   57, -158,  313, -565, 1043,-2347,31671, 3411,-1703, 1141, -846,  657, -521,  415, -330,  260, -204,  170, -220,  -47,    1,
  -23, -213,   89,  -78,   66,  -41,   -5,   76, -185,  351, -620, 1127,-2507,31610, 3644,-1803, 1201, -886,  685, -540,  428, -339,  266, -207,  172, -219,  -48,    1,
  -22, -212,   86,  -73,   59,  -31,  -18,   95, -211,  388, -673, 1210,-2664,31545, 3878,-1904, 1261, -926,  712, -559,  442, -348,  272, -211,  174, -219,  -49,    1,
  -22, -211,   83,  -68,   53,  -21,  -32,  115, -238,  425, -726, 1293,-2818,31477, 4115,-2004, 1321, -966,  740, -578,  455, -357,  277, -214,  175, -219,  -50,    1,
  -21, -211,   80,  -64,   46,  -12,  -46,  134, -264,  461, -779, 1374,-2970,31404, 4353,-2105, 1381,-1005,  767, -597,  468, -365,  283, -218,  177, -218,  -51,    1,
  -21, -210,   77,  -59,   39,   -2,  -59,  152, -290,  498, -831, 1454,-3118,31327, 4593,-2205, 1440,-1045,  794, -616,  481, -374,  288, -221,  179, -218,  -52,    1,
  -20, -209,   73,  -55,   33,    8,  -73,  171, -316,  534, -882, 1533,-3264,31247, 4835,-2305, 1499,-1084,  821, -634,  493, -382,  294, -224,  181, -217,  -54,    1,
  -19, -208,   70,  -50,   26,   17,  -86,  190, -342,  569, -933, 1610,-3406,31162, 5079,-2406, 1559,-1123,  847, -653,  506, -391,  299, -228,  183, -217,  -55,    1,
  -19, -207,   67,  -46,   19,   27, -100,  208, -367,  605, -984, 1687,-3546,31074, 5324,-2506, 1617,-1161,  874, -671,  518, -399,  304, -231,  184, -216,  -56,    1,
  -18, -206,   64,  -41,   13,   36, -113,  227, -393,  640,-1033, 1763,-3683,30982, 5571,-2605, 1676,-1200,  900, -689,  531, -407,  310, -234,  186, -216,  -57,    1,
  -18, -205,   60,  -36,    6,   46, -126,  245, -417,  674,-1082, 1837,-3817,30886, 5819,-2705, 1734,-1238,  926, -707,  543, -415,  315, -237,  187, -215,  -58,    1,
  -17, -205,   57,  -32,    0,   55, -139,  263, -442,  708,-1130, 1910,-3948,30786, 6069,-2804, 1792,-1276,  952, -725,  555, -423,  320, -240,  189, -214,  -59,    1,
  -17, -204,   54,  -27,   -7,   64, -152,  281, -467,  742,-1178, 1982,-4076,30683, 6321,-2903, 1849,-1313,  977, -742,  567, -431,  324, -243,  190, -214,  -60,    1,
  -16, -203,   50,  -23,  -13,   73, -165,  298, -491,  775,-1225, 2053,-4201,30575, 6574,-3001, 1906,-1350, 1003, -759,  578, -439,  329, -245,  192, -213,  -61,    1,
  -16, -202,   47,  -18,  -20,   82, -177,  316, -514,  808,-1271, 2123,-4323,30464, 6828,-3099, 1963,-1387, 1027, -777,  590, -446,  334, -248,  193, -212,  -62,    1,
  -15, -201,   44,  -14,  -26,   92, -190,  333, -538,  840,-1317, 2191,-4442,30349, 7083,-3197, 2019,-1423, 1052, -793,  601, -454,  339, -251,  194, -211,  -64,    1,
  -15, -200,   40,   -9,  -33,  100, -202,  350, -561,  872,-1362, 2258,-4558,30231, 7340,-3294, 2074,-1460, 1077, -810,  613, -461,  343, -253,  195, -210,  -65,    1,
  -14, -199,   37,   -5,  -39,  109, -215,  367, -584,  903,-1406, 2324,-4671,30109, 7598,-3391, 2130,-1495, 1101, -826,  624, -468,  347, -256,  196, -210,  -66,    1,
  -14, -198,   33,    0,  -45,  118, -227,  383, -607,  934,-1449, 2388,-4782,29983, 7858,-3487, 2184,-1530, 1124, -843,  634, -475,  352, -258,  197, -209,  -67,    1,
  -13, -196,   30,    4,  -52,  127, -239,  400, -629,  965,-1492, 2452,-4889,29854, 8118,-3582, 2238,-1565, 1148, -859,  645, -482,  356, -260,  198, -208,  -68,    1,
  -13, -195,   27,    9,  -58,  136, -251,  416, -651,  995,-1534, 2513,-4993,29721, 8380,-3677, 2292,-1600, 1171, -874,  655, -489,  360, -263,  199, -207,  -69,    1,
  -12, -194,   23,   13,  -64,  144, -263,  432, -673, 1024,-1575, 2574,-5094,29585, 8642,-3771, 2345,-1634, 1194, -890,  666, -495,  364, -265,  200, -206,  -71,    1,
  -12, -193,   20,   18,  -70,  153, -274,  448, -694, 1053,-1615, 2633,-5192,29445, 8906,-3864, 2397,-1667, 1216, -905,  676, -502,  368, -267,  201, -204,  -72,    1,
  -12, -192,   16,   22,  -76,  161, -286,  463, -715, 1081,-1654, 2691,-5287,29301, 9171,-3957, 2449,-1700, 1238, -920,  686, -508,  372, -269,  202, -203,  -73,    1,
  -11, -191,   13,   26,  -82,  169, -297,  479, -735, 1109,-1693, 2747,-5379,29154, 9436,-4049, 2500,-1733, 1260, -934,  695, -514,  375, -271,  202, -202,  -74,    1,
  -11, -190,   10,   31,  -88,  178, -308,  494, -755, 1136,-1730, 2802,-5468,29004, 9702,-4140, 2551,-1765, 1281, -948,  705, -520,  379, -273,  203, -201,  -76,    1,
  -10, -188,    6,   35,  -94,  186, -319,  508, -775, 1163,-1767, 2855,-5554,28850, 9969,-4230, 2600,-1796, 1302, -962,  714, -526,  382, -274,  204, -200,  -77,    1,
  -10, -187,    3,   39, -100,  194, -330,  523, -795, 1189,-1803, 2907,-5637,28693,10237,-4319, 2649,-1827, 1323, -976,  723, -531,  385, -276,  204, -198,  -78,    1,
  -10, -186,   -1,   43, -106,  202, -341,  537, -814, 1215,-1838, 2958,-5718,28533,10506,-4407, 2698,-1858, 1343, -990,  731, -537,  388, -277,  204, -197,  -79,    1,
   -9, -185,   -4,   48, -111,  209, -351,  551, -832, 1240,-1873, 3007,-5795,28369,10775,-4494, 2745,-1888, 1363,-1003,  740, -542,  391, -279,  205, -196,  -81,    1,
   -9, -183,   -7,   52, -117,  217, -362,  565, -851, 1264,-1906, 3055,-5869,28203,11044,-4580, 2792,-1917, 1382,-1015,  748, -547,  394, -280,  205, -194,  -82,    1,
   -9, -182,  -11,   56, -122,  224, -372,  578, -869, 1288,-1939, 3101,-5940,28033,11315,-4665, 2838,-1945, 1401,-1028,  756, -552,  397, -281,  205, -193,  -83,    1,
   -8, -181,  -14,   60, -128,  232, -382,  592, -886, 1312,-1970, 3146,-6008,27859,11585,-4749, 2883,-1974, 1419,-1040,  764, -557,  399, -283,  205, -191,  -85,    1,
   -8, -180,  -18,   64, -133,  239, -391,  605, -903, 1334,-2001, 3189,-6073,27683,11856,-4832, 2927,-2001, 1437,-1051,  771, -561,  402, -284,  205, -190,  -86,    1,
   -8, -178,  -21,   68, -139,  246, -401,  617, -920, 1356,-2031, 3231,-6135,27504,12128,-4914, 2970,-2028, 1454,-1063,  779, -565,  404, -285,  205, -188,  -87,    1,
   -7, -177,  -24,   72, -144,  253, -410,  630, -936, 1378,-2060, 3272,-6195,27322,12400,-4994, 3013,-2054, 1471,-1074,  786, -570,  406, -285,  205, -186,  -89,    1,
   -7, -176,  -28,   76, -149,  260, -420,  642, -952, 1399,-2088, 3311,-6251,27136,12672,-5073, 3055,-2079, 1488,-1085,  792, -574,  408, -286,  205, -185,  -90,    1,
   -7, -174,  -31,   80, -154,  267, -429,  653, -967, 1419,-2115, 3348,-6304,26948,12944,-5151, 3095,-2104, 1504,-1095,  799, -577,  410, -287,  205, -183,  -91,    1,
